code,rose_3y,rank_3y,rank_r_3y,name,rose_2y,rank_2y,rank_r_2y,rose_1y,rank_1y,rank_r_1y,rose_6m,rank_6m,rank_r_6m,rose_3m,rank_3m,rank_r_3m
001559,65.81,1279,0.168666754582619,天弘医疗健康混合C,65.81,1276,0.16827113279704603,65.81,1276,0.16827113279704603,65.81,1279,0.168666754582619,65.81,1279,0.168666754582619
001567,11.86,4476,0.5902677040749044,南方利达C,11.86,4477,0.5903995780034287,11.86,4477,0.5903995780034287,11.86,4476,0.5902677040749044,11.86,4476,0.5902677040749044
001572,28.6,3605,0.47540551233021233,嘉合磐石C,28.6,3606,0.47553738625873665,28.6,3606,0.47553738625873665,28.6,3605,0.47540551233021233,28.6,3605,0.47540551233021233
001580,4.09,5269,0.6948437293946986,南方利安C,4.09,5268,0.6947118554661743,4.09,5268,0.6947118554661743,4.09,5269,0.6948437293946986,4.09,5269,0.6948437293946986
001589,45.61,2424,0.3196624027429777,天弘中证800指数C,45.61,2423,0.3195305288144534,45.61,2423,0.3195305288144534,45.61,2424,0.3196624027429777,45.61,2424,0.3196624027429777
001593,94.81,463,0.06105762890676513,天弘创业板ETF联接C,94.81,462,0.0609257549782408,94.81,462,0.0609257549782408,94.81,463,0.06105762890676513,94.81,463,0.06105762890676513
001595,33.9,3293,0.43426084663062114,天弘中证银行ETF联接C,33.9,3294,0.43439272055914546,33.9,3294,0.43439272055914546,33.9,3293,0.43426084663062114,33.9,3293,0.43426084663062114
001602,39.63,2894,0.38164314914941316,鑫元鑫新收益灵活配置混合C,39.63,2894,0.38164314914941316,39.63,2894,0.38164314914941316,39.63,2894,0.38164314914941316,39.63,2894,0.38164314914941316
001608,54.43,1846,0.24343927205591454,英大策略优选C,54.43,1847,0.24357114598443888,54.43,1847,0.24357114598443888,54.43,1846,0.24343927205591454,54.43,1846,0.24343927205591454
001610,7.85,4823,0.6360279572728471,平安鑫享混合C,7.85,4822,0.6358960833443228,7.85,4822,0.6358960833443228,7.85,4823,0.6360279572728471,7.85,4823,0.6360279572728471
001618,98.25,395,0.05209020176711064,天弘中证电子ETF联接C,95.41,451,0.05947514176447316,95.41,451,0.05947514176447316,98.25,395,0.05209020176711064,98.25,395,0.05209020176711064
001630,83.95,694,0.09152050639588553,天弘中证计算机ETF联接C,83.95,693,0.0913886324673612,83.95,693,0.0913886324673612,83.95,694,0.09152050639588553,83.95,694,0.09152050639588553
001632,30.59,3490,0.46024001054991426,天弘中证食品饮料ETF联接C,30.59,3490,0.46024001054991426,30.59,3490,0.46024001054991426,30.59,3490,0.46024001054991426,30.59,3490,0.46024001054991426
001634,14.27,4307,0.5679810101542925,万家瑞祥混合C,13.8,4344,0.5728603455096928,13.8,4344,0.5728603455096928,14.27,4307,0.5679810101542925,14.27,4307,0.5679810101542925
001636,7.48,4870,0.6422260319134907,万家瑞益灵活配置混合C,7.58,4853,0.6399841751285771,7.58,4853,0.6399841751285771,7.48,4870,0.6422260319134907,7.48,4870,0.6422260319134907
001638,32.62,3375,0.44507450876961624,前海开源优势蓝筹股票C,32.62,3375,0.44507450876961624,32.62,3375,0.44507450876961624,32.62,3375,0.44507450876961624,32.62,3375,0.44507450876961624
001644,81.47,752,0.09916919425029672,汇丰晋信智造先锋股票C,82.2,732,0.0965317156798101,82.2,732,0.0965317156798101,81.47,752,0.09916919425029672,81.47,752,0.09916919425029672
